,ID,AEP_MW
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,,
1996,,
1997,,132.78926775869402
1998,,149.9677114175927
1999,,1749.3310849163754
2000,,7617.949680716263
2001,,6849.317235561513
2002,,1657.0097853425318
2003,,360.41663912597534
2004,,
2005,,
2006,,
2007,,
2008,,
2009,,
2010,,
2011,,
2012,,
2013,,
2014,,
2015,,
2016,,
2017,,
2018,,
2019,,
2020,,
2021,,132.87233031718438
2022,,150.06151946406771
2023,,1750.4253293384766
2024,,7622.714872976236
2025,,6853.601631605716
2026,,1658.046280795344
2027,,360.64208752759396
2028,,
2029,,
2030,,
2031,,
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
2039,,
2040,,
2041,,
2042,,
2043,,
2044,,
2045,,132.95539287567473
2046,,150.1553275105427
2047,,1751.5195737605777
2048,,7627.480065236208
2049,,6857.886027649918
2050,,1659.0827762481558
2051,,360.86753592921247
2052,,
2053,,
2054,,
2055,,
2056,,
2057,,
2058,,
2059,,
2060,,
2061,,
2062,,
2063,,
2064,,
2065,,
2066,,
2067,,
2068,,
2069,,133.0384554341651
2070,,150.2491355570177
2071,,1752.613818182679
2072,,7632.245257496179
2073,,6862.170423694119
2074,,1660.1192717009676
2075,,361.09298433083103
2076,,
2077,,
2078,,
2079,,
2080,,
2081,,
2082,,
2083,,
2084,,
2085,,
2086,,
2087,,
2088,,
2089,,
2090,,
2091,,
2092,,
2093,,133.12151799265547
2094,,150.3429436034927
2095,,1753.7080626047805
2096,,7637.010449756152
